Ciudad,Latitud,Longitud,Temperatura,Humedad,Descripcion
Brisbane,-27.4698,153.0251,19.0,100,Lluvia  moderada a intervalos
Perth,-31.9505,115.8605,9.1,81,Despejado
Auckland,-36.8485,174.7633,17.3,83,Lluvia  moderada a intervalos
Wellington,-41.2865,174.7762,13.4,72,Parcialmente nublado
Anchorage,61.2181,-149.9003,0.3,75,Parcialmente nublado
Tallinn,59.437,24.7536,5.1,61,Parcialmente nublado
Riga,56.949,24.1052,7.3,57,Soleado
Vilnius,54.6872,25.2797,12.3,32,Parcialmente nublado
Luxembourg,49.8153,6.1296,14.3,63,Parcialmente nublado
Monaco,43.7384,7.4246,21.2,38,Soleado
San Marino,43.9424,12.4578,14.9,81,Lluvia  moderada a intervalos
Andorra la Vella,42.5078,1.5211,18.3,38,Lluvia  moderada a intervalos
Valletta,35.8997,14.5141,19.2,64,Soleado
Doha,25.2854,51.531,30.2,59,Cielo cubierto
Kuwait City,29.3759,47.9774,38.6,16,Soleado
Manama,26.2285,50.586,30.4,49,Parcialmente nublado
Amman,31.9539,35.9106,23.2,29,Neblina
Jerusalén,31.7683,35.2137,22.3,50,Soleado
Teherán,35.6892,51.389,29.0,15,Intervalos de lluvias ligeras con tomenta en la región
Bagdad,33.3157,44.3661,35.3,20,Parcialmente nublado
Beirut,33.8938,35.5018,22.0,65,Parcialmente nublado
Túnez,36.8065,10.1815,24.2,36,Parcialmente nublado
Argel,36.7539,3.0589,23.3,53,Parcialmente nublado
Nairobi,-1.2921,36.8219,24.0,44,Parcialmente nublado
Adís Abeba,9.0306,38.7578,25.0,24,Parcialmente nublado
Accra,5.6037,-0.187,32.1,67,Soleado
